BOORDTABEL FIETSPLAN;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Project;Gem;Lengte;Wat;Kost;Finan-ciering;Belang;Moeilijkheidsgr;Timing studie;svz-studie;Timing werken;Svz- werken;Opmerkingen;Verantw.;;;;
1. Fietspaden/fietssuggestiestroken;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.1 Bestaande infrastructuur;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Waverse Steenweg tussenGeneraal Jacques en E411;OUD-ETT-ELS;2325;SS+BF;4185;;2;2;07;1;2012;2013;OC oktober 2011;Florence Dekoster;;;;
Leopold III laan;EVE;1425;FP;;;;;;;;2013;op Vincent Van Gogh ontbreekt fietspad tot aan Bordet;Eric Monami;;;;
Havenlaan;BRU-MOL;1575;gedeeld trottoir;;;;;;;;2013;voorlopige inrichting;Eric Monami;;;;
Gentsesteenweg  tussen Schweitzer en Karreveld;MOL-SAB;1705;GFP+SS;3069;;2;1;07;1;2010;2013;;Catherine Fierens/STIB/Eric Falier/Ulric Schollaert;;;;
Albertlaan;VOR;900;GFP;;;;;;;;2013;voorlopige inrichting;Hugues Convent;;;;
Troonstraat;BRU;150;GFP;;;;;;;;2013;;US;;;;
Gentsesteenweg tussen Schweitzerplein en Gewestgrens;SAB-MOL;1160;GFP;2088;;2;1;05;3;2010;2014;GFR 8 : beslissing over profiel nodig : parkeerplaats schrappen kan wanneer ondergrondse P komt op Schweitzer;BUUR;;;;
Waterloosesteenweg Legrand/Churchill;UKK;310;SS;558;;2;2;06;3;2012;2014;tijdelijke situatie in afwachting van schrappen parkeerplaats;Vicom, Fabien Stiénon;;;;
Leopold III laan (behalve stuk tussen Courtens en Vincent Van Gogh);EVE-SCH;2775;BI+FP;1526250;Beliris+Gewest;2;3;05;3;2010;2014;stuk ontbreekt tussen Gewestelijk deel en stuk Beliris;Beliris, Eric Monami;;;;
Zuidlaan ventweg kant Stad tussen Blaes en Nieuwland;BRU;450;GFP;;;;;;;;2014;voorlopige inrichting;;;;;
TOTAAL 2009-2014;;23966;;;;;;;;;;;;;;;
Schweitzerplein;SAB;;;;;2;2;06;3;2012;2015;Openbaar onderzoek sep 2008;Catherine Fierens ;;;;
Jubelpark (oa Ridderschapslaan, Keltenlaan, Renaissancelaan, Blijde Inkomst);BRU-ETT;997;FP;;stk;3;2;06;5;2014;2015;BV ingediend dec 2008/bekomen augustus 2012/werf najaar 2013;Espaces-Mobilités, Ulric, Pierre Obsomer;;;;
Sint-Denijsstraat;VOR;795;FP;1431;vicom;2;1;07;4;2013;2015;GFR SZ;Christophe Weyrich;;;;
Woestelaan;JET;1160;FP;400000;a;2;2;05;5;2012;2016;GFR 12. BV afgeleverd.;Jean-Marie Ndambi;;;;
Wereldtentoonstellingslaan tussen Oude Afspanning en Romeinse Steenweg;JET;890;FP;;;;;;;;2015;;Fabien Stiénon;;;588;
Britse Tweedelegerlaan;VOR;2620;FP;;;;;;;;2015;;Christophe Weyrich;<GFP;;1345;
Groendreef;BRU;775;BI;;;;;;;;2016;;Fabien Stiénon;;;172;
Troonstraat tussen Handels en Idalie;ELS;390;GFP;;;;;;;;2016;;Marianne Courtois;;;2105;
Frans Hospitaallaan;SAB;850;FP;243100;;1;2;09;;2013;2016;test nodig voor versie zonder eigen bedding waarbij linksaf op Pantheon niet meer kan.;nog niet toegewezen;;;;
Waversesteenweg ts Naamsepoort en Troon;ELS;700;GFP+SS;1260;stk;3;1;06;6;2012;2016;"Is éénrichting tussen Elsense en Vredestraat; gemarkeerd fp op dat stuk na asfaltering.";Pierre Obsomer;;;;4357
Oudergemlaan;ETT;1085;BF;;stk;2;2;05;3;4/2014;2015;Bus + fiets. BV ingediend 1/12;Jan Schollaert;;;;
St-Michielslaan;ETT;586;GFP;;;;;;;;2017;;;;;;
Fonsnylaan;STG;865;GFP;;;;;;;;2016;in één richting;Marianne Courtois;;;;
Veeweydekaai;AND;275;BI;;;;;;;;2017;;US;;;;
Winston Churchill + rondpunt;UKK;1000;GFP;1800;stk;2;2;07;3;2012;;;Hugues Convent;;;;
Belliardstraat;BRU;930;FP;265980;;1;2;05;;06-07;2019;tijdelijke inrichting;Fabien Stiénon;;;;
Madou+Marnix+Waterloos PC;BRU;750;BI;;;;;;;;;;;;;;
Poincarélaan/Zuidlaan;BRU;1200;FP;;;;;;;;2018;;Florence Dekoster;;;;
Elsensesteenweg tussen Naamsepoort en Cocq;ELS;700;BF+SS;;stk;3;1;06;3;2012;2019;voetgangerszone;Jean-Marie Ndambi;;;;
Woluwedal tussen Hymans en Tervuren;SLW;1700;BI;;;;;;;;2018;D10 kant Woluwe;Jean-Marie Ndambi;;;;
Generaal Jacqueslaan ;ELS;1025;FP;293150;;3;3;07;1;2013;2015;"positief advies overlegcommissie, beslissing bij kabinet Madrane; test 17 april 2014";Sophie Bougard;;;;
Vrijheidslaan;KOE;498;BF;896,4;stk;1;1;06;af;07/1;2017;;;<GFP;;;
Bolivarlaan;BRU;540;GFP+BI;154440;;1;1;07;3;;;;Fabien Stiénon;;;;
Roosevelt;BRU;2480;FP;709280;stk;2;1;06;1;zomer 2013;2019;"fietspaden met behouden 2x2 profiel; financiering ontbreekt voor volledige heraanleg";Hugues Convent;<GFP;;;
Van Praetlaan;BRU;2036;BI;;;;;;;;2015;asfaltering van Groene Wandeling ? Is conform BV;OS;;;;
TOTAAL 2014-2096;;24847;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Poplimontlaan;JET/GAN;1000;FP;;;;;;;2014;;vernieuwing voetpaden>>>BV aanvragen !!!;Sophie Bougard;;;;
Congolaan;ELS;150;FP;;;;;;;;;;;;;;
Claessensstraat;BRU;225;;;;;;;;2013;;in nieuwe vergunning Havenlaan, ingediend begin 2014;Eric Monami;;;;
Bergensesteenweg ts Kanaal en Bizet;AND;2000;GFP+BF;572000;stk;2;1;06;1,2;;;bus + fiets alternerend met gemarkeerde fietspaden. BV nodig ;Davide Pinto;;;;
Bergensesteenweg ts Albert en Kanaal ;AND;620;SS;177320;vicom;2;2;07;1,2;;;studie VICOM;Davide Pinto;;;;
Non-stop fietsroute Brussel-Leuven;BRU;465;BI;132990;stk;2;2;07;0;;;stuk binnen heraanleg Verdunstraat/Oude Middelweg, Ontbreek stuk langs L36;toe te wijzen !;;;;
Troonstraat tussen Waverse en Blyckaerts;ELS;420;GFP+SS;;;;;;;2014;;;US;;;;
Gutenbergsquare (GFR 11);BRU;134;GFP;38324;stk;2;2;06;3;2013;;MIVB maakt plannen en voert samen met werken Willemsstraat;Ulric Schollaert/Espaces-Mobilités;;;;
Kleine Ring : tussen Sainctelette en Rogier, tussen Schaarbeeksepoort en Madou, tussen Madou en Munthof, tussen Munthof en spoorwegbrug;BRU;6800;FP+SS+GFP;;stk;3;2;07;3;2012;;markering zonder BV mogelijk, Poincaré september 2013, tussen Spoorweg en Hallepoort begin 2014;Florence Dekoster;;;;
Graystraat;ELS;850;fietsstraat;1530;stk;2;1;05;4;2014;;"GFR MM : BV 191; fietsstraat in 2014 ? Afsluiting bij werken Vivaqua = test afsluiting tussen 2 bruggen.";Ulric Schollaert/Jan Schollaert;;;;
Houtweg-Bordet-Cicero;EVE;2325;FP+GFP;664950;stk;1;2;07;1,2;2012;;Bordet version bidirectionnelle test ?;Florence Dekoster;;;;
Jetselaan - stuk met tram;KOE-JET;400;GFP;;stk;2;2;05-06;4;2012;;tram 9: art 191 afgeleverd;Olivier Eugène;;;;
Leopold II laan;MOL;2000;FP+lat.;;stk;3;1;06;3;06-08;uit-voering plan MIVB gestart fietspad-aanpas-singen 07/1;werken kunnen zonder BV;Espaces-Mobilités, Ulric;;;;
;;;;;;;;;;;;passerelle naast Sainctelettebrug : Beliris ?;;;;;
Brusselse Steenweg (fietsbrug);VOR;;;800000;vicom;2;2;;5;2012;;conventie naar minister;Infrabel;;;;
Lambermontlaan, Wahislaan, Whitlock, St-Michielslaan, Louis Schmidtlaan;SCH-SLW-ETT;6355;FP;1817530;;3;3;07;1;;;"Streefbeeldstudie. Laterale baan Lambermont in studie; VICOM studie richting Montgomery op Brand Whitlock+markeringsplan";JL Glume/ Stratec/BUUR;;;;
